name,visual_id_count,visual_ids,types,note
워어렛의상,2,mu0000212 | wu0000212,armor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
위타천,2,mu0000176 | mu0000181,armor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
윌화이어아머,4,mu1000042 | wu0000373 | wu1000034 | wu1000042,armor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
인디언복장,2,mu1000025 | wu1000025,armor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
일렌타아리,2,wu0000269 | wu0000398,armor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
일본축구복,2,mu0000264 | wu0000264,armor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
전통장수갑옷,2,mu1000018 | wu1000018,armor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
전파펭귄옷,2,mu0000320 | wu0000320,armor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
전파펭귄옷(업그레이드),2,mu0000440 | wu0000440,armor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
창백한,50,mm001_skin7 | wm001_skin7 | mo001_skin7 | mo002_skin7 | mo003_skin7 | mo004_skin7 | mo005_skin7 | mo006_skin7 | mo007_skin7 | mo008_skin7 | mo009_skin7 | mo010_skin7 | mo011_skin7 | mo012_skin7 | mo013_skin7 | mo014_skin7 | mo015_skin7 | mo016_skin7 | mo017_skin7 | mo018_skin7 | mo019_skin7 | mo020_skin7 | mo021_skin7 | mo022_skin7 | mo023_skin7 | mo024_skin7 | wo001_skin7 | wo002_skin7 | wo003_skin7 | wo004_skin7 | wo005_skin7 | wo006_skin7 | wo007_skin7 | wo008_skin7 | wo009_skin7 | wo010_skin7 | wo011_skin7 | wo012_skin7 | wo013_skin7 | wo014_skin7 | wo015_skin7 | wo016_skin7 | wo017_skin7 | wo018_skin7 | wo019_skin7 | wo020_skin7 | wo021_skin7 | wo022_skin7 | wo023_skin7 | wo024_skin7,bodyskin | facecolor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
체인,2,mw052 | ww052,weapon,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
축구심판복,2,mu0000262 | wu0000262,armor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
카닐,2,wu0000268 | wu0000395,armor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
카리온,2,mu0000268 | mu0000395,armor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
큐이레스,2,wh209 | wh356,hair,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
크리스마스의상,2,mu1000026 | wu1000026,armor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
클레릭아머(Lev1),2,mu0000404 | wu0000404,armor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
터틀,2,mu0000256 | wu0000256,armor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
토마호크,2,mw054 | ww054,weapon,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
페이로브아머,4,mu0000372 | mu1000035 | wu0000372 | wu1000035,armor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
펭귄옷,2,mu0000104 | wu0000104,armor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
펭귄옷(업그레이드),2,mu0000439 | wu0000439,armor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
플로팅블레이드,3,mg332 | mg333 | mg334,back,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
한국축구복,2,mu0000263 | wu0000263,armor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
해적모자,2,mh232 | wh401,hair,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
해적옷,3,mu0000261 | wu0000260 | wu0000261,armor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
헬름,2,mh163 | mh168,hair,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
화랑복건,9,mh124 | mh307 | mh308 | mh309 | mh312 | mh352 | mh353 | mh354 | mh355,hair,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
화랑복건 ,7,mh310 | mh552 | mh553 | mh554 | mh555 | mh556 | mh558,hair,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
화랑전복,17,mu1000001 | mu1000002 | mu1000003 | mu1000004 | mu1000005 | mu1000006 | mu1000019 | mu1000020 | mu1000021 | mu1000022 | mu1000126 | mu1000127 | mu1000128 | mu1000129 | mu1000130 | mu1000131 | mu1000132,armor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
황금색,50,mm001_skin4 | wm001_skin4 | mo001_skin4 | mo002_skin4 | mo003_skin4 | mo004_skin4 | mo005_skin4 | mo006_skin4 | mo007_skin4 | mo008_skin4 | mo009_skin4 | mo010_skin4 | mo011_skin4 | mo012_skin4 | mo013_skin4 | mo014_skin4 | mo015_skin4 | mo016_skin4 | mo017_skin4 | mo018_skin4 | mo019_skin4 | mo020_skin4 | mo021_skin4 | mo022_skin4 | mo023_skin4 | mo024_skin4 | wo001_skin4 | wo002_skin4 | wo003_skin4 | wo004_skin4 | wo005_skin4 | wo006_skin4 | wo007_skin4 | wo008_skin4 | wo009_skin4 | wo010_skin4 | wo011_skin4 | wo012_skin4 | wo013_skin4 | wo014_skin4 | wo015_skin4 | wo016_skin4 | wo017_skin4 | wo018_skin4 | wo019_skin4 | wo020_skin4 | wo021_skin4 | wo022_skin4 | wo023_skin4 | wo024_skin4,bodyskin | facecolor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
회색,50,mm001_skin6 | wm001_skin6 | mo001_skin6 | mo002_skin6 | mo003_skin6 | mo004_skin6 | mo005_skin6 | mo006_skin6 | mo007_skin6 | mo008_skin6 | mo009_skin6 | mo010_skin6 | mo011_skin6 | mo012_skin6 | mo013_skin6 | mo014_skin6 | mo015_skin6 | mo016_skin6 | mo017_skin6 | mo018_skin6 | mo019_skin6 | mo020_skin6 | mo021_skin6 | mo022_skin6 | mo023_skin6 | mo024_skin6 | wo001_skin6 | wo002_skin6 | wo003_skin6 | wo004_skin6 | wo005_skin6 | wo006_skin6 | wo007_skin6 | wo008_skin6 | wo009_skin6 | wo010_skin6 | wo011_skin6 | wo012_skin6 | wo013_skin6 | wo014_skin6 | wo015_skin6 | wo016_skin6 | wo017_skin6 | wo018_skin6 | wo019_skin6 | wo020_skin6 | wo021_skin6 | wo022_skin6 | wo023_skin6 | wo024_skin6,bodyskin | facecolor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
회색튜브,2,mu0000319 | wu0000319,armor,동일 display name이 여러 visual ID에 존재. 이름만으로 exact item identity 확정 금지.
