visual_id,visual_name,visual_type,candidate_canonical_item_id,candidate_canonical_name,rule,mapping_status,identity_status,confidence,note
mu0000053,밀레스달마티카,armor,IT_WIZ_ARM_2A,달마티카,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000054,루어스달마티카,armor,IT_WIZ_ARM_2A,달마티카,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000055,수오미레더로브,armor,IT_PRI_ARM_2A,레더로브,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000056,밀레스레더로브,armor,IT_PRI_ARM_2A,레더로브,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000057,뤼케시온레더로브,armor,IT_PRI_ARM_2A,레더로브,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000058,루어스레더로브,armor,IT_PRI_ARM_2A,레더로브,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000059,오렌가이아로럼,armor,IT_WIZ_ARM_4A,가이아로럼,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000060,루어스단도복,armor,IT_MON_ARM_2A,단도복,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000061,뤼케시온단도복,armor,IT_MON_ARM_2A,단도복,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000062,수오미단도복,armor,IT_MON_ARM_2A,단도복,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000063,수오미레더튜닉,armor,IT_WAR_ARM_1M,레더튜닉,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000064,뤼케시온레더튜닉,armor,IT_WAR_ARM_1M,레더튜닉,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000065,루어스레더튜닉,armor,IT_WAR_ARM_1M,레더튜닉,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000066,밀레스레더튜닉,armor,IT_WAR_ARM_1M,레더튜닉,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000067,수오미스카웃튜닉,armor,IT_ROG_ARM_1A,스카웃튜닉,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000068,밀레스스카웃튜닉,armor,IT_ROG_ARM_1A,스카웃튜닉,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000069,뤼케시온스카웃튜닉,armor,IT_ROG_ARM_1A,스카웃튜닉,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000070,루어스스카웃튜닉,armor,IT_ROG_ARM_1A,스카웃튜닉,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000071,수오미후드로브,armor,IT_WIZ_ARM_1A,후드로브,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000072,뤼케시온후드로브,armor,IT_WIZ_ARM_1A,후드로브,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000073,밀레스후드로브,armor,IT_WIZ_ARM_1A,후드로브,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000074,루어스후드로브,armor,IT_WIZ_ARM_1A,후드로브,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000075,수오미셍즈,armor,IT_PRI_ARM_1A,셍즈,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000076,밀레스셍즈,armor,IT_PRI_ARM_1A,셍즈,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000077,뤼케시온셍즈,armor,IT_PRI_ARM_1A,셍즈,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000078,루어스셍즈,armor,IT_PRI_ARM_1A,셍즈,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000079,수오미도복,armor,IT_MON_ARM_1A,도복,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000080,뤼케시온도복,armor,IT_MON_ARM_1A,도복,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000081,루어스도복,armor,IT_MON_ARM_1A,도복,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000082,밀레스도복,armor,IT_MON_ARM_1A,도복,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000083,뤼케시온하프플레이트,armor,IT_WAR_ARM_2C,하프플레이트,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000084,밀레스하프플레이트,armor,IT_WAR_ARM_2C,하프플레이트,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000085,루어스하프플레이트,armor,IT_WAR_ARM_2C,하프플레이트,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000086,수오미하프플레이트,armor,IT_WAR_ARM_2C,하프플레이트,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000087,수오미팔루텐,armor,IT_ROG_ARM_3A,팔루텐,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000090,루어스팔루텐,armor,IT_ROG_ARM_3A,팔루텐,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000091,수오미로럼,armor,IT_WIZ_ARM_3A,로럼,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000092,뤼케시온로럼,armor,IT_WIZ_ARM_3A,로럼,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000093,밀레스로럼,armor,IT_WIZ_ARM_3A,로럼,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000094,루어스로럼,armor,IT_WIZ_ARM_3A,로럼,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000095,밀레스맨틀,armor,IT_PRI_ARM_3A,맨틀,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000096,루어스맨틀,armor,IT_PRI_ARM_3A,맨틀,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000097,수오미맨틀,armor,IT_PRI_ARM_3A,맨틀,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000098,뤼케시온맨틀,armor,IT_PRI_ARM_3A,맨틀,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000100,밀레스천지도복,armor,IT_MON_ARM_3A,천지도복,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000101,뤼케시온천지도복,armor,IT_MON_ARM_3A,천지도복,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000102,루어스천지도복,armor,IT_MON_ARM_3A,천지도복,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000111,수오미가이아로럼,armor,IT_WIZ_ARM_4A,가이아로럼,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000112,뤼케시온가이아로럼,armor,IT_WIZ_ARM_4A,가이아로럼,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000113,루어스가이아로럼,armor,IT_WIZ_ARM_4A,가이아로럼,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000114,밀레스가이아로럼,armor,IT_WIZ_ARM_4A,가이아로럼,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000115,수오미위저드로브,armor,IT_PRI_ARM_4A,위저드로브,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000116,뤼케시온위저드로브,armor,IT_PRI_ARM_4A,위저드로브,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000117,루어스위저드로브,armor,IT_PRI_ARM_4A,위저드로브,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000118,밀레스위저드로브,armor,IT_PRI_ARM_4A,위저드로브,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000121,루어스선풍도복,armor,IT_MON_ARM_4A,선풍도복,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000122,밀레스선풍도복,armor,IT_MON_ARM_4A,선풍도복,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000123,수오미풀플레이트,armor,IT_WAR_ARM_4C,풀플레이트,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000124,뤼케시온풀플레이트,armor,IT_WAR_ARM_4C,풀플레이트,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000125,루어스풀플레이트,armor,IT_WAR_ARM_4C,풀플레이트,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000126,밀레스풀플레이트,armor,IT_WAR_ARM_4C,풀플레이트,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000143,수오미체인메일,armor,IT_WAR_ARM_3C,체인메일,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000144,뤼케시온체인메일,armor,IT_WAR_ARM_3C,체인메일,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
