Evidence_ID,Item_ID,Field,Value,Source_ID,SourceItemKey,SourceURL,Evidence,Era,ObservedAt,Status,Notes
"EV_NX5022_DARKDIANA","","PRIMARY_STATS","STR=3;INT=1;WIS=0;CON=0;DEX=0","SRC_NEXON_UPDATE_5022","","https://lod.nexon.com/News/update/5022","O","2023","2026-09-18","UNMAPPED","다크디아나 changed stats"
"EV_NX5022_LIMPID","","PRIMARY_STATS","STR=3;INT=1;WIS=-1;CON=0;DEX=0","SRC_NEXON_UPDATE_5022","","https://lod.nexon.com/News/update/5022","O","2023","2026-09-18","UNMAPPED","림피드비쥬"
"EV_NX5022_YOUNGWOLCHUNG","","PRIMARY_STATS","STR=3;INT=4;WIS=3;CON=0;DEX=0","SRC_NEXON_UPDATE_5022","","https://lod.nexon.com/News/update/5022","O","2023","2026-09-18","UNMAPPED","영월충"
"EV_NX5022_BLOWWAVE","","PRIMARY_STATS","STR=3;INT=6;WIS=3;CON=0;DEX=0","SRC_NEXON_UPDATE_5022","","https://lod.nexon.com/News/update/5022","O","2023","2026-09-18","UNMAPPED","블로우웨이브"
"EV_NX5022_PULSEBEAT","","ALL_STATS","ATK_S=550m600;STR=4;INT=-1;WIS=-4;CON=4;DEX=-4","SRC_NEXON_UPDATE_5022","","https://lod.nexon.com/News/update/5022","O","2023","2026-09-18","UNMAPPED","펄스비트"
"EV_NX7188_MUREKAN_GLOVE5","","ALL_STATS","AC=7;HIT=7;DAM=7;HP=4000;MP=3000;STR=7;INT=7;WIS=-6;CON=7;DEX=-6;REGEN=60;MDEF=3;ATK=750m850","SRC_NEXON_COMMUNITY_7188","","https://lod.nexon.com/community/game/7188?SearchBoard=1","V","2019","2026-09-18","UNMAPPED","뮤레칸의글러브 +5"
"EV_NX7188_RABIA_GLOVE5","","ALL_STATS","AC=-11;HIT=6;DAM=6;HP=3500;STR=6;CON=6;REGEN=50;MDEF=2","SRC_NEXON_COMMUNITY_7188","","https://lod.nexon.com/community/game/7188?SearchBoard=1","V","2019","2026-09-18","UNMAPPED","래비아왕국장갑 +5"
"EV_NX7188_OLDKING_LEG5","","ALL_STATS","AC=-16;HIT=5;DAM=5;HP=3500;INT=5;CON=5;REGEN=50;MDEF=2","SRC_NEXON_COMMUNITY_7188","","https://lod.nexon.com/community/game/7188?SearchBoard=1","V","2019","2026-09-18","UNMAPPED","오래된왕국각반 +5"
"EV_NX2025_NAG_EAR3","IT_NAGELING_EARRING","SPECIAL","additional_damage","SRC_NEXON_UPDATE_141176","","https://lod.nexon.com/news/update/141176","O","2025","2026-09-18","MAPPED","Official: Lev3 additional damage option"
"EV_NX2025_NAG_RING3","IT_NAGELING_RING","SPECIAL","additional_damage","SRC_NEXON_UPDATE_141176","","https://lod.nexon.com/news/update/141176","O","2025","2026-09-18","MAPPED","Official: Lev3 additional damage option"
"EV_NX2025_NAG_LEG3","IT_NAGELING_LEGGINGS","SPECIAL","damage_mitigation","SRC_NEXON_UPDATE_141176","","https://lod.nexon.com/news/update/141176","O","2025","2026-09-18","MAPPED","Official: Lev3 damage mitigation option"
"EV_NX2025_NAG_GLOVE3","IT_NAGELING_GLOVE","SPECIAL","damage_mitigation","SRC_NEXON_UPDATE_141176","","https://lod.nexon.com/news/update/141176","O","2025","2026-09-18","MAPPED","Official: Lev3 damage mitigation option"
"EV_NX2026_NAG_NECK","IT_NAGELING_NECK","ELEMENT_ENHANCE","30%","SRC_NEXON_UPDATE_145393","","https://lod.nexon.com/News/update/145393","O","2026","2026-09-18","MAPPED","Official current elemental/neutral Nageling necklace enhancement 30%"
"EV_NX145393_HORD_ELEMENT","","ELEMENT_STRENGTH","15%","SRC_NEXON_UPDATE_145393","","https://lod.nexon.com/News/update/145393","O","2026","2026-09-18","UNMAPPED","속성 호드목걸이"
"EV_NX145393_NAGELING_NONE","","ELEMENT_STRENGTH","30%","SRC_NEXON_UPDATE_145393","","https://lod.nexon.com/News/update/145393","O","2026","2026-09-18","UNMAPPED","무속성 나겔링목걸이"
"EV_NX145393_NAGELING_ELEMENT","","ELEMENT_STRENGTH","30%","SRC_NEXON_UPDATE_145393","","https://lod.nexon.com/News/update/145393","O","2026","2026-09-18","UNMAPPED","속성 나겔링목걸이"
"EV_NX145393_DARK_NECK","","ELEMENT_STRENGTH","15%","SRC_NEXON_UPDATE_145393","","https://lod.nexon.com/News/update/145393","O","2026","2026-09-18","UNMAPPED","어둠의목걸이"
"EV_NX145393_LIGHT_NECK","","ELEMENT_STRENGTH","15%","SRC_NEXON_UPDATE_145393","","https://lod.nexon.com/News/update/145393","O","2026","2026-09-18","UNMAPPED","빛의목걸이"
"EV_NX6222_BRONZE_GLOVE","","IDENTITY","slot=장갑;level=41-50","SRC_GEAR_GUIDE","","https://lod.nexon.com/community/game/6222?SearchBoard=1","V","2010","2026-09-18","UNMAPPED","동장갑"
"EV_NX6222_AQUA_GLOVE","","IDENTITY","slot=장갑;level=51-70","SRC_GEAR_GUIDE","","https://lod.nexon.com/community/game/6222?SearchBoard=1","V","2010","2026-09-18","UNMAPPED","아쿠아글러브"
"EV_NX6222_BRONZE_LEG","","IDENTITY","slot=각반;level=41-50","SRC_GEAR_GUIDE","","https://lod.nexon.com/community/game/6222?SearchBoard=1","V","2010","2026-09-18","UNMAPPED","동각반"
"EV_NX6222_CORAL_LEG","","IDENTITY","slot=각반;level=51-70","SRC_GEAR_GUIDE","","https://lod.nexon.com/community/game/6222?SearchBoard=1","V","2010","2026-09-18","UNMAPPED","산호각반"
"EV_NX6222_IRON_SHIELD","","IDENTITY","slot=방패;level=41-55","SRC_GEAR_GUIDE","","https://lod.nexon.com/community/game/6222?SearchBoard=1","V","2010","2026-09-18","UNMAPPED","철방패"
"EV_NX6222_SILVER_SHIELD","","IDENTITY","slot=방패;level=56-70","SRC_GEAR_GUIDE","","https://lod.nexon.com/community/game/6222?SearchBoard=1","V","2010","2026-09-18","UNMAPPED","은제방패"
