asset_id,class,source,status,atlas,x,y,w,h,blocking,anchor_rule,collision_footprint,draw_rule
TREE_young_A,tree,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,48,96,48,48,true,secondary_canopy,trunk_footprint,canopy_may_overdraw_actor
TREE_young_B,tree,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,96,96,48,48,true,secondary_canopy,trunk_footprint,canopy_may_overdraw_actor
BUSH_dense_A,bush,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,144,96,48,48,false,understory,none,normal_depth
BUSH_dense_B,bush,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,192,96,48,48,false,understory,none,normal_depth
BUSH_dense_C,bush,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,240,96,48,48,false,understory,none,normal_depth
BUSH_dense_D,bush,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,288,96,48,48,false,understory,none,normal_depth
GROUND_foliage_A,groundcover,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,336,96,48,48,false,tree_bank_open_edge,none,normal_depth
GROUND_foliage_B,groundcover,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,0,144,48,48,false,tree_bank_open_edge,none,normal_depth
GROUND_flower_A,groundcover,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,48,144,48,48,false,tree_bank_open_edge,none,normal_depth
GROUND_flower_B,groundcover,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,96,144,48,48,false,tree_bank_open_edge,none,normal_depth
STUMP_A,forest_detail,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,144,144,48,48,true,forest_floor,sprite_lower_footprint,normal_depth
STUMP_B,forest_detail,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,192,144,48,48,true,forest_floor,sprite_lower_footprint,normal_depth
ROOT_A,forest_detail,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,240,144,48,48,true,forest_floor,sprite_lower_footprint,normal_depth
ROOT_B,forest_detail,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,288,144,48,48,true,forest_floor,sprite_lower_footprint,normal_depth
ROCK_stream_A,rock,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,336,144,48,48,true,stream,sprite_lower_footprint,normal_depth
ROCK_stream_B,rock,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,0,192,48,48,true,stream,sprite_lower_footprint,normal_depth
ROCK_stream_C,rock,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,48,192,48,48,true,stream,sprite_lower_footprint,normal_depth
ROCK_ground_A,rock,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,96,192,48,48,true,open_edge,sprite_lower_footprint,normal_depth
ROCK_ground_B,rock,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,144,192,48,48,true,open_edge,sprite_lower_footprint,normal_depth
WATER_stream_A,water,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,192,192,48,48,true,stream_axis,tile_blocker,normal_depth
WATER_stream_B,water,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,240,192,48,48,true,stream_axis,tile_blocker,normal_depth
WATER_edge_N,water,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,288,192,48,48,true,stream_axis,tile_blocker,normal_depth
WATER_edge_E,water,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,336,192,48,48,true,stream_axis,tile_blocker,normal_depth
WATER_edge_S,water,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,0,240,48,48,true,stream_axis,tile_blocker,normal_depth
WATER_edge_W,water,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,48,240,48,48,true,stream_axis,tile_blocker,normal_depth
WATER_corner_NE,water,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,96,240,48,48,true,stream_axis,tile_blocker,normal_depth
WATER_corner_SW,water,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,144,240,48,48,true,stream_axis,tile_blocker,normal_depth
