asset_id,category,file,source_pixel_size,source_pixels_resampled,render_scale,runtime_estimated_size,anchor,collision_footprint,blocking,depth_rule,relationship_tags,visual_qa,production_status
POTE_WT_01,water,POTE_WT_01.png,"[109, 112]",False,1.0,"[109, 112]",tile_center,water_mask,True,ground,"[""stream_axis"", ""water_connection""]",PASS_V6,APPROVED_V1
POTE_WT_02,water,POTE_WT_02.png,"[107, 112]",False,1.0,"[107, 112]",tile_center,water_mask,True,ground,"[""stream_axis"", ""water_connection""]",PASS_V6,APPROVED_V1
POTE_WT_03,water,POTE_WT_03.png,"[109, 112]",False,1.0,"[109, 112]",tile_center,water_mask,True,ground,"[""stream_axis"", ""water_connection""]",PASS_V6,APPROVED_V1
POTE_WT_04,water,POTE_WT_04.png,"[104, 112]",False,1.0,"[104, 112]",tile_center,water_mask,True,ground,"[""stream_axis"", ""water_connection""]",PASS_V6,APPROVED_V1
POTE_WT_05,water,POTE_WT_05.png,"[85, 112]",False,1.0,"[85, 112]",tile_center,water_mask,True,ground,"[""stream_axis"", ""water_connection""]",PASS_V6,APPROVED_V1
POTE_WT_06,water,POTE_WT_06.png,"[98, 112]",False,1.0,"[98, 112]",tile_center,water_mask,True,ground,"[""stream_axis"", ""water_connection""]",PASS_V6,APPROVED_V1
POTE_BW_01,bank,POTE_BW_01.png,"[86, 93]",False,1.0,"[86, 93]",bottom_center,none,False,ground_detail,"[""stream_edge"", ""moisture_vegetation""]",PASS_V6,APPROVED_V1
POTE_BW_02,bank,POTE_BW_02.png,"[99, 93]",False,1.0,"[99, 93]",bottom_center,none,False,ground_detail,"[""stream_edge"", ""moisture_vegetation""]",PASS_V6,APPROVED_V1
POTE_BW_03,bank,POTE_BW_03.png,"[113, 93]",False,1.0,"[113, 93]",bottom_center,none,False,ground_detail,"[""stream_edge"", ""moisture_vegetation""]",PASS_V6,APPROVED_V1
POTE_BW_04,bank,POTE_BW_04.png,"[112, 93]",False,1.0,"[112, 93]",bottom_center,none,False,ground_detail,"[""stream_edge"", ""moisture_vegetation""]",PASS_V6,APPROVED_V1
POTE_BW_05,bank,POTE_BW_05.png,"[91, 93]",False,1.0,"[91, 93]",bottom_center,none,False,ground_detail,"[""stream_edge"", ""moisture_vegetation""]",PASS_V6,APPROVED_V1
POTE_OT_01,detail,POTE_OT_01.png,"[106, 93]",False,1.0,"[106, 93]",bottom_center,none,False,ground_detail,"[""forest_floor"", ""landmark_detail""]",PASS_V6,APPROVED_V1
POTE_OT_02,detail,POTE_OT_02.png,"[79, 93]",False,1.0,"[79, 93]",bottom_center,none,False,ground_detail,"[""forest_floor"", ""landmark_detail""]",PASS_V6,APPROVED_V1
POTE_OT_03,detail,POTE_OT_03.png,"[77, 93]",False,1.0,"[77, 93]",bottom_center,none,False,ground_detail,"[""forest_floor"", ""landmark_detail""]",PASS_V6,APPROVED_V1
POTE_OT_04,detail,POTE_OT_04.png,"[71, 93]",False,1.0,"[71, 93]",bottom_center,none,False,ground_detail,"[""forest_floor"", ""landmark_detail""]",PASS_V6,APPROVED_V1
POTE_OT_05,detail,POTE_OT_05.png,"[88, 93]",False,1.0,"[88, 93]",bottom_center,none,False,ground_detail,"[""forest_floor"", ""landmark_detail""]",PASS_V6,APPROVED_V1
