Skill_ID,스킬명,직업,요구Lv,STR,CON,INT,DEX,WIS,선행스킬,필요아이템,Gold,숙련조건,상태,,,,,,,,,,,,
SK_마법사_019,엑스테라미카,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_020,엑스아듀라,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_021,엑스플라미카,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_022,로카테오,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_023,딜루메니,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_024,데프레코,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_025,소루마,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_026,마레네라,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_027,테라미에라,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_028,아듀레나,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_029,플라메라,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_030,마네나로,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_031,테라미칼로,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_032,아듀랄로,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_033,플라미칼로,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_034,세멜리아,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_035,아마겟돈,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_036,숨마스텔라,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_037,라그나로크,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_038,데스,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_039,아이스블러스트,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_040,퀘이크,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_041,플레쉬스톰,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_042,플레어,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_043,메테오,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_044,속성강화,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_045,매직프로텍션,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_046,어둠의각인,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_047,렌티아,마법사,,,,,,,,유물반지 1개,3000000,,V: 2025 승급 기술 비용자료.,,,,,,,,,,,,
SK_마법사_048,바르데아,마법사,,,,,,,,유물반지 1개,3000000,,V: 2025 승급 기술 비용자료.,,,,,,,,,,,,
SK_마법사_049,데프레타,마법사,,,,,,,,다크틸의지팡이 1개,3000000,,V: 2025 승급 기술 비용자료.,,,,,,,,,,,,
SK_마법사_050,프라베라,마법사,,,,,,,,다크틸의지팡이 1개,3000000,,V: 2025 승급 기술 비용자료.,,,,,,,,,,,,
SK_마법사_051,델리스펠라스,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_052,포트리스,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_001,쿠로,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_002,수혈,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_003,디렌토,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_004,벨라르모,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_005,쿠라노,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_006,디바르도,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_007,쿠러스,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_008,디베노모,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_009,에나르마,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_010,베누스티,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_011,쿠라노소,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_012,바르도,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_013,홀리볼트,성직자,,,,48,,35,홀리쇼크 10,,,,O: 2021 공식 업데이트 기준.,,,,,,,,,,,,
SK_성직자_014,디데프레카,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_015,쿠라누스,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_016,쿠랄툼,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_017,실드,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_018,콜라마,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_019,수페라벨라르모,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_020,홀리블로우,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_021,수페라쿠라노,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_022,로카메아,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_023,디프라바,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_024,리치마나,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_025,소모니아,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_026,디소루마,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_027,쿠라네라,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_028,호르라마,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_029,이모탈,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_030,코마디아,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_031,리베라토,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_032,엑스쿠라노,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_033,엑스쿠라네라,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_034,리플렉토,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_035,수페라에나르마,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_036,엑스벨라룸,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_037,칸의축복,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_038,신의축복,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_039,홀리큐어,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_040,홀리드래곤,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_041,디렌타,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_042,디바르데아,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_043,디데프레타,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_044,디프라베라,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_045,홀리큐레스,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_046,일루메룸,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_047,디나르콜룸,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_048,디베노메라,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_성직자_049,디소루메라,성직자,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_001,정권,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_002,단각,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_003,이형환위,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_004,미종보법,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_005,양의신권,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_006,통배권,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_007,붕각,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_008,경신공,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_009,백보신권,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_010,일음지,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_011,흡정신공,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_012,쿠랄툼,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_013,철포삼,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_014,선풍각,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_015,장풍,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_016,금강불괴,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_017,쿠라노토,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_018,발경,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_019,소수신공,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_020,다라밀공,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_021,구양신공,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_022,반탄신공,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_023,달마신공,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_024,연천단각,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_025,붕신선각,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_026,파천각,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_027,트리플펀치,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_028,무영신공,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_무도가_029,자기보호,무도가,,,,,,,,,,,확인 필요,,,,,,,,,,,,
