Item_ID,아이템명,대분류,세부분류,직업,써클,요구Lv,슬롯,공격속성,방어속성,효과/역할,획득처,NPC판매,유저거래,Source_ID,신뢰도,비고,,,,,,,,,
IT_RING_THREELINEGOLD,세줄금반지,장비,반지,공통,2,11,반지,,,퀘스트/드롭 대표 반지,퀘스트/드롭,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_RING_GORU,고루반지,장비,반지,마법사/성직자,2,11,반지,,,저레벨 마법직 반지,레벨업/상점,가능,가능,SRC_WIZARD_REWARD,SOURCE,,,,,,,,,,
IT_RING_SILVERAQUA,실버아쿠아링,장비,반지,공통,3,51,반지,,,3써클 상위 반지,아벨해안/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_RING_GOLDAQUA,골드아쿠아링,장비,반지,공통,4,79,반지,,,4써클 상위 반지,드롭/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_SHIELD_LEATHER,가죽방패,장비,방패,방패 가능 직업,2,11,방패,,,2써클 방패,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_SHIELD_COPPER,구리방패,장비,방패,방패 가능 직업,2,26,방패,,,2써클 상위 방패,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_SHIELD_IRON,철방패,장비,방패,방패 가능 직업,3,41,방패,,,3써클 방패,수오미/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_SHIELD_SILVER,은제방패,장비,방패,방패 가능 직업,3,56,방패,,,3써클 상위 방패,수오미/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_SHIELD_GOLD,금제방패,장비,방패,방패 가능 직업,4,71,방패,,,4써클 방패,수오미/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_SHIELD_PLANUM,플라늄방패,장비,방패,방패 가능 직업,4,86,방패,,,4써클 최고급 상점 방패,수오미/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_SHIELD_PAPAYA,파파야방패,장비,방패,방패 가능 직업,4,71,방패,,,4써클 퀘스트 보상 방패,퀘스트,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_WATER_PEARL,바다의진주목걸이,장비,목걸이,공통,2,11,목걸이,바다,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_BELT_WATER_LEATHER,바다의가죽벨트,장비,벨트,공통,2,11,벨트,,바다,방어속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_WATER_AMETHYST,바다의자수정목걸이,장비,목걸이,공통,2,20,목걸이,바다,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_BELT_WATER_SILVER,바다의은벨트,장비,벨트,공통,2,17,벨트,,바다,방어속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_WATER_GOLDJADE,바다의금옥목걸이,장비,목걸이,공통,2,25,목걸이,바다,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_BELT_WATER_GOLD,바다의금벨트,장비,벨트,공통,2,36,벨트,,바다,방어속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_WATER_BERYL,바다의벽옥목걸이,장비,목걸이,공통,3,42,목걸이,바다,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_WATER_CRYSTAL,바다의크리스탈목걸이,장비,목걸이,공통,3,53,목걸이,바다,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_WATER_MAGIA,바다의마기아목걸이,장비,목걸이,공통,4,72,목걸이,바다,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_WATER_CANNA,바다의칸나목걸이,장비,목걸이,공통,4,85,목걸이,바다,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_EARTH_PEARL,대지의진주목걸이,장비,목걸이,공통,2,11,목걸이,대지,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_BELT_EARTH_LEATHER,대지의가죽벨트,장비,벨트,공통,2,11,벨트,,대지,방어속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_EARTH_AMETHYST,대지의자수정목걸이,장비,목걸이,공통,2,20,목걸이,대지,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_BELT_EARTH_SILVER,대지의은벨트,장비,벨트,공통,2,17,벨트,,대지,방어속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_EARTH_GOLDJADE,대지의금옥목걸이,장비,목걸이,공통,2,25,목걸이,대지,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_BELT_EARTH_GOLD,대지의금벨트,장비,벨트,공통,2,36,벨트,,대지,방어속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_EARTH_BERYL,대지의벽옥목걸이,장비,목걸이,공통,3,42,목걸이,대지,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_EARTH_CRYSTAL,대지의크리스탈목걸이,장비,목걸이,공통,3,53,목걸이,대지,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_EARTH_MAGIA,대지의마기아목걸이,장비,목걸이,공통,4,72,목걸이,대지,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_EARTH_CANNA,대지의칸나목걸이,장비,목걸이,공통,4,85,목걸이,대지,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_WIND_PEARL,바람의진주목걸이,장비,목걸이,공통,2,11,목걸이,바람,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_BELT_WIND_LEATHER,바람의가죽벨트,장비,벨트,공통,2,11,벨트,,바람,방어속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_WIND_AMETHYST,바람의자수정목걸이,장비,목걸이,공통,2,20,목걸이,바람,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_BELT_WIND_SILVER,바람의은벨트,장비,벨트,공통,2,17,벨트,,바람,방어속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_WIND_GOLDJADE,바람의금옥목걸이,장비,목걸이,공통,2,25,목걸이,바람,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_BELT_WIND_GOLD,바람의금벨트,장비,벨트,공통,2,36,벨트,,바람,방어속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_WIND_BERYL,바람의벽옥목걸이,장비,목걸이,공통,3,42,목걸이,바람,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_WIND_CRYSTAL,바람의크리스탈목걸이,장비,목걸이,공통,3,53,목걸이,바람,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_WIND_MAGIA,바람의마기아목걸이,장비,목걸이,공통,4,72,목걸이,바람,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_WIND_CANNA,바람의칸나목걸이,장비,목걸이,공통,4,85,목걸이,바람,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_FIRE_PEARL,화염의진주목걸이,장비,목걸이,공통,2,11,목걸이,화염,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_BELT_FIRE_LEATHER,화염의가죽벨트,장비,벨트,공통,2,11,벨트,,화염,방어속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_FIRE_AMETHYST,화염의자수정목걸이,장비,목걸이,공통,2,20,목걸이,화염,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_BELT_FIRE_SILVER,화염의은벨트,장비,벨트,공통,2,17,벨트,,화염,방어속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_FIRE_GOLDJADE,화염의금옥목걸이,장비,목걸이,공통,2,25,목걸이,화염,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_BELT_FIRE_GOLD,화염의금벨트,장비,벨트,공통,2,36,벨트,,화염,방어속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_FIRE_BERYL,화염의벽옥목걸이,장비,목걸이,공통,3,42,목걸이,화염,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_FIRE_CRYSTAL,화염의크리스탈목걸이,장비,목걸이,공통,3,53,목걸이,화염,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_FIRE_MAGIA,화염의마기아목걸이,장비,목걸이,공통,4,72,목걸이,화염,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_FIRE_CANNA,화염의칸나목걸이,장비,목걸이,공통,4,85,목걸이,화염,,공격속성 설정,상점/보상,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_NECK_LIFE,생명의목걸이,장비,목걸이,공통,5/승급,99,목걸이,생명,,특수 공격속성,루그 가공,가능,가능,SRC_ELEMENT_CRAFT,SOURCE,,,,,,,,,,
IT_NECK_DARK,암흑의목걸이,장비,목걸이,공통,5/승급,99,목걸이,암흑,,특수 공격속성,루그 가공,가능,가능,SRC_ELEMENT_CRAFT,SOURCE,,,,,,,,,,
IT_BELT_LIFE,생명의벨트,장비,벨트,공통,5/승급,99,벨트,,생명,특수 방어속성,루그 가공,가능,가능,SRC_ELEMENT_CRAFT,SOURCE,,,,,,,,,,
IT_BELT_DARK,암흑의벨트,장비,벨트,공통,5/승급,99,벨트,,암흑,특수 방어속성,루그 가공,가능,가능,SRC_ELEMENT_CRAFT,SOURCE,,,,,,,,,,
IT_WAR_ARM_1M,레더튜닉,장비,갑옷,전사,1,2,갑옷,,,1써클 남성 계열,직업/보상,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_WAR_ARM_1F,튜닉,장비,갑옷,전사,1,2,갑옷,,,1써클 여성 계열,직업/보상,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_WAR_ARM_2A,지폰,장비,갑옷,전사,2,11,갑옷,,,2써클 갑옷 계열,상점/보상,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_WAR_ARM_2B,레데메일,장비,갑옷,전사,2,11,갑옷,,,2써클 갑옷 계열,상점/보상,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_WAR_ARM_2C,하프플레이트,장비,갑옷,전사,2,26,갑옷,,,2써클 상위 갑옷,상점/보상,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_WAR_ARM_2D,미스티플레이트,장비,갑옷,전사,2,26,갑옷,,,2써클 상위 갑옷,상점/보상,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_WAR_ARM_3A,카스뮴아머,장비,갑옷,전사,3,41,갑옷,,,3써클 갑옷,상점/보상,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_WAR_ARM_3B,카스뮴플레이트,장비,갑옷,전사,3,41,갑옷,,,3써클 갑옷,상점/보상,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_WAR_ARM_3C,체인메일,장비,갑옷,전사,3,56,갑옷,,,3써클 상위 갑옷,상점/보상,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_WAR_ARM_3D,아마존아머,장비,갑옷,전사,3,56,갑옷,,,3써클 상위 갑옷,상점/보상,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_WAR_ARM_4A,이프리트메일,장비,갑옷,전사,4,71,갑옷,,,4써클 갑옷,상점/보상,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_WAR_ARM_4B,라비린스메일,장비,갑옷,전사,4,71,갑옷,,,4써클 갑옷,상점/보상,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_WAR_HELM_4A,이프리트투구,장비,투구,전사,4,71,투구,,,4써클 전사 투구,상점/보상,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_WAR_HELM_4B,라비린스투구,장비,투구,전사,4,71,투구,,,4써클 전사 투구,상점/보상,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_WAR_ARM_4C,풀플레이트,장비,갑옷,전사,4,86,갑옷,,,4써클 상위 갑옷,상점/보상,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_WAR_ARM_4D,피닉스메일,장비,갑옷,전사,4,86,갑옷,,,4써클 상위 갑옷,상점/보상,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_WAR_HELM_4C,풀플레이트투구,장비,투구,전사,4,86,투구,,,4써클 상위 투구,상점/보상,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_WAR_HELM_4D,피닉스투구,장비,투구,전사,4,86,투구,,,4써클 상위 투구,상점/보상,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_WAR_WPN_TOMAHAWK,토마호크,장비,무기,전사,2,11,무기,,,2써클 무기,상점/보상,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_WAR_WPN_AXE,액스,장비,무기,전사,3,44,무기,,,3써클 무기,상점/보상,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_WAR_WPN_WOODCLUB,우든클럽,장비,무기,전사,3,57,무기,,,3써클 무기,드롭/거래,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_WAR_WPN_SPIKECLUB,스파이크클럽,장비,무기,전사,4,73,무기,,,4써클 무기,상점/보상,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_WAR_WPN_BATTLEAXE,배틀액스,장비,무기,전사,4,76,무기,,,4써클 무기,상점/보상,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_WAR_WPN_GIANTCLUB,자이언트클럽,장비,무기,전사,4,88,무기,,,4써클 상위 무기,상점/보상,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_WAR_WPN_TAGONITE,타고나이트액스,장비,무기,전사,2,11,무기,,,구 가이드에서 2써클 고데미지 무기,드롭/거래,가능,가능,SRC_WARRIOR_OLD,SOURCE,,,,,,,,,,
IT_ROG_ARM_1A,스카웃튜닉,장비,갑옷,도적,1,2,갑옷,,,1써클 의상,직업/보상,가능,가능,SRC_ROGUE_REWARD,SOURCE,,,,,,,,,,
IT_ROG_ARM_1B,꼬뜨,장비,갑옷,도적,1,2,갑옷,,,1써클 의상,직업/보상,가능,가능,SRC_ROGUE_REWARD,SOURCE,,,,,,,,,,
IT_ROG_ARM_2A,노미쉬레더,장비,갑옷,도적,2,11,갑옷,,,2써클 의상,상점/보상,가능,가능,SRC_ROGUE_REWARD,SOURCE,,,,,,,,,,
IT_ROG_ARM_2B,브리간딘,장비,갑옷,도적,2,11,갑옷,,,2써클 의상,상점/보상,가능,가능,SRC_ROGUE_REWARD,SOURCE,,,,,,,,,,
IT_ROG_ARM_3A,팔루텐,장비,갑옷,도적,3,41,갑옷,,,3써클 의상,상점/보상,가능,가능,SRC_ROGUE_REWARD,SOURCE,,,,,,,,,,
IT_ROG_ARM_3B,코르스,장비,갑옷,도적,3,41,갑옷,,,3써클 의상,상점/보상,가능,가능,SRC_ROGUE_REWARD,SOURCE,,,,,,,,,,
IT_ROG_ARM_4A,키톤,장비,갑옷,도적,4,71,갑옷,,,4써클 의상,상점/보상,가능,가능,SRC_ROGUE_REWARD,SOURCE,,,,,,,,,,
IT_ROG_ARM_4B,페플로스,장비,갑옷,도적,4,71,갑옷,,,4써클 의상,상점/보상,가능,가능,SRC_ROGUE_REWARD,SOURCE,,,,,,,,,,
IT_ROG_WPN_1,비설표,장비,무기,도적,1,2,무기,,,1써클 표창/도적무기,직업/보상,가능,가능,SRC_ROGUE_REWARD,SOURCE,,,,,,,,,,
IT_ROG_WPN_2,비중표,장비,무기,도적,2,11,무기,,,2써클 무기,보상/상점,가능,가능,SRC_ROGUE_REWARD,SOURCE,,,,,,,,,,
IT_ROG_WPN_WHIP,채찍,장비,무기,도적,2,26,무기,,,2써클 상위 무기,보상/상점,가능,가능,SRC_ROGUE_REWARD,SOURCE,,,,,,,,,,
IT_ROG_WPN_MOON,월단검,장비,무기,도적,3,41,무기,,,3써클 단검,보상/상점,가능,가능,SRC_ROGUE_REWARD,SOURCE,,,,,,,,,,
IT_ROG_WPN_LIGHT,광단검,장비,무기,도적,3,56,무기,,,3써클 상위 단검,보상/상점,가능,가능,SRC_ROGUE_REWARD,SOURCE,,,,,,,,,,
IT_ROG_WPN_SINGLE,일단검,장비,무기,도적,4,71,무기,,,4써클 단검,보상/상점,가능,가능,SRC_ROGUE_REWARD,SOURCE,,,,,,,,,,
IT_WIZ_ARM_1A,후드로브,장비,갑옷,마법사,1,2,갑옷,,,1써클 의상,직업/보상,가능,가능,SRC_WIZARD_REWARD,SOURCE,,,,,,,,,,
IT_WIZ_ARM_1B,매직스커트,장비,갑옷,마법사,1,2,갑옷,,,1써클 의상,직업/보상,가능,가능,SRC_WIZARD_REWARD,SOURCE,,,,,,,,,,
IT_WIZ_ARM_2A,달마티카,장비,갑옷,마법사,2,11,갑옷,,,2써클 의상,상점/보상,가능,가능,SRC_WIZARD_REWARD,SOURCE,,,,,,,,,,
IT_WIZ_ARM_2B,베누스타,장비,갑옷,마법사,2,11,갑옷,,,2써클 의상,상점/보상,가능,가능,SRC_WIZARD_REWARD,SOURCE,,,,,,,,,,
IT_WIZ_ARM_3A,로럼,장비,갑옷,마법사,3,41,갑옷,,,3써클 의상,상점/보상,가능,가능,SRC_WIZARD_REWARD,SOURCE,,,,,,,,,,
IT_WIZ_ARM_3B,스톨라,장비,갑옷,마법사,3,41,갑옷,,,3써클 의상,상점/보상,가능,가능,SRC_WIZARD_REWARD,SOURCE,,,,,,,,,,
IT_WIZ_ARM_4A,가이아로럼,장비,갑옷,마법사,4,71,갑옷,,,4써클 의상,상점/보상,가능,가능,SRC_WIZARD_REWARD,SOURCE,,,,,,,,,,
IT_WIZ_ARM_4B,클리머스,장비,갑옷,마법사,4,71,갑옷,,,4써클 의상,상점/보상,가능,가능,SRC_WIZARD_REWARD,SOURCE,,,,,,,,,,
IT_WIZ_WPN_STAFF,매직스태프,장비,무기,마법사,2,11,무기,,,기본 마법사 스태프,상점/보상,가능,가능,SRC_WIZARD_REWARD,SOURCE,,,,,,,,,,
IT_WIZ_WPN_SATIA,매직새티아,장비,무기,마법사,2,15,무기,,,2써클 마법사 무기,보상,가능,가능,SRC_WIZARD_REWARD,SOURCE,,,,,,,,,,
IT_WIZ_WPN_LUNA,매직루나,장비,무기,마법사,2,25,무기,,,2써클 상위 마법사 무기,보상,가능,가능,SRC_WIZARD_REWARD,SOURCE,,,,,,,,,,
IT_WIZ_WPN_MARCIA,매직마르시아,장비,무기,마법사,3,41,무기,,,3써클 마법사 무기,보상,가능,가능,SRC_WIZARD_REWARD,SOURCE,,,,,,,,,,
IT_WIZ_WPN_SOLAR,매직솔라,장비,무기,마법사,4,83,무기,,,4써클 마법사 무기,보상,가능,가능,SRC_WIZARD_REWARD,SOURCE,,,,,,,,,,
IT_PRI_ARM_1A,셍즈,장비,갑옷,성직자,1,2,갑옷,,,1써클 의상,직업/보상,가능,가능,SRC_PRIEST_REWARD,SOURCE,,,,,,,,,,
IT_PRI_ARM_1B,로브,장비,갑옷,성직자,1,2,갑옷,,,1써클 의상,직업/보상,가능,가능,SRC_PRIEST_REWARD,SOURCE,,,,,,,,,,
IT_PRI_ARM_2A,레더로브,장비,갑옷,성직자,2,11,갑옷,,,2써클 의상,상점/보상,가능,가능,SRC_PRIEST_REWARD,SOURCE,,,,,,,,,,
IT_PRI_ARM_2B,미스틱로브,장비,갑옷,성직자,2,11,갑옷,,,2써클 의상,상점/보상,가능,가능,SRC_PRIEST_REWARD,SOURCE,,,,,,,,,,
IT_PRI_ARM_3A,맨틀,장비,갑옷,성직자,3,41,갑옷,,,3써클 의상,상점/보상,가능,가능,SRC_PRIEST_REWARD,SOURCE,,,,,,,,,,
IT_PRI_ARM_3B,엘레맨틀,장비,갑옷,성직자,3,41,갑옷,,,3써클 의상,상점/보상,가능,가능,SRC_PRIEST_REWARD,SOURCE,,,,,,,,,,
IT_PRI_ARM_4A,위저드로브,장비,갑옷,성직자,4,71,갑옷,,,4써클 의상,상점/보상,가능,가능,SRC_PRIEST_REWARD,SOURCE,,,,,,,,,,
IT_PRI_ARM_4B,홀리로브,장비,갑옷,성직자,4,71,갑옷,,,4써클 의상,상점/보상,가능,가능,SRC_PRIEST_REWARD,SOURCE,,,,,,,,,,
IT_PRI_WPN_WAND,홀리완드,장비,무기,성직자,1,2,무기,,,기본 성직자 무기,직업/보상,가능,가능,SRC_PRIEST_REWARD,SOURCE,,,,,,,,,,
IT_PRI_WPN_LUNA,홀리루나,장비,무기,성직자,2,11,무기,,,2써클 성직자 무기,보상/상점,가능,가능,SRC_PRIEST_REWARD,SOURCE,,,,,,,,,,
IT_MON_ARM_1A,도복,장비,갑옷,무도가,1,2,갑옷,,,1써클 의상,직업/보상,가능,가능,SRC_MONK_REWARD,SOURCE,,,,,,,,,,
IT_MON_ARM_1B,연무복,장비,갑옷,무도가,1,2,갑옷,,,1써클 의상,직업/보상,가능,가능,SRC_MONK_REWARD,SOURCE,,,,,,,,,,
