id,name,name_status,type,gender,job_id,job_name,sprite_count,states,thumb_x,thumb_y,thumb_w,thumb_h,webp,stats_status,stats_source,stats_version,canonical_item_id,canonical_name,category,subcategory,canonical_job,circle,required_level,slot,attack_element,defense_element,effect_role,acquisition,source_id,confidence,merge_status,verified_status,verified_source_date,verified_source_url,verified_notes,verified_level_req,verified_AC,verified_STR,verified_INT,verified_WIS,verified_CON,verified_DEX,verified_HIT,verified_DAM,verified_magic_def_pct,verified_ability_req,verified_HP,verified_MP,verified_magic_def,verified_enhance_0_1,verified_enhance_1_2,verified_enhance_2_3,verified_enhance_3_4,verified_enhance_4_5,source_resolved_name,name_evidence_class,name_evidence_source,candidate_name,candidate_method,candidate_confidence,candidate_peer_ids,appearance_id,external_appearance_guide,external_visual_label,full_audit_status
mm001_skin9,,UNRESOLVED,bodyskin,,,,134,01|02|03|b|c|d|e|f,176,0,21,51,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,악마,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
wm001_skin1,,UNRESOLVED,bodyskin,,,,134,01|02|03|b|c|d|e|f,198,0,17,51,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,새하얀,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
wm001_skin2,,UNRESOLVED,bodyskin,,,,134,01|02|03|b|c|d|e|f,216,0,17,51,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,새까만,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
wm001_skin3,,UNRESOLVED,bodyskin,,,,134,01|02|03|b|c|d|e|f,234,0,17,51,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,오크,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
wm001_skin4,,UNRESOLVED,bodyskin,,,,134,01|02|03|b|c|d|e|f,252,0,17,51,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,황금색,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
wm001_skin5,,UNRESOLVED,bodyskin,,,,134,01|02|03|b|c|d|e|f,270,0,17,51,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,구리빛,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
wm001_skin6,,UNRESOLVED,bodyskin,,,,134,01|02|03|b|c|d|e|f,288,0,17,51,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,회색,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
wm001_skin7,,UNRESOLVED,bodyskin,,,,134,01|02|03|b|c|d|e|f,306,0,17,51,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,창백한,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
wm001_skin8,,UNRESOLVED,bodyskin,,,,134,01|02|03|b|c|d|e|f,324,0,17,51,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,붉은색,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
wm001_skin9,,UNRESOLVED,bodyskin,,,,134,01|02|03|b|c|d|e|f,342,0,17,51,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,악마,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo001_skin1,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,0,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,새하얀,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo001_skin2,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,12,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,새까만,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo001_skin3,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,24,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,오크,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo001_skin4,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,36,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,황금색,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo001_skin5,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,48,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,구리빛,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo001_skin6,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,60,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,회색,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo001_skin7,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,72,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,창백한,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo001_skin8,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,84,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,붉은색,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo001_skin9,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,96,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,악마,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo002_skin1,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,108,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,새하얀,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo002_skin2,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,120,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,새까만,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo002_skin3,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,132,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,오크,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo002_skin4,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,144,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,황금색,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo002_skin5,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,156,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,구리빛,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo002_skin6,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,168,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,회색,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo002_skin7,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,180,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,창백한,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo002_skin8,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,192,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,붉은색,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo002_skin9,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,204,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,악마,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo003_skin1,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,216,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,새하얀,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo003_skin2,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,228,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,새까만,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo003_skin3,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,240,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,오크,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo003_skin4,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,252,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,황금색,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo003_skin5,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,264,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,구리빛,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo003_skin6,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,276,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,회색,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo003_skin7,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,288,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,창백한,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo003_skin8,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,300,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,붉은색,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo003_skin9,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,312,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,악마,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo004_skin1,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,324,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,새하얀,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo004_skin2,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,336,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,새까만,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo004_skin3,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,348,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,오크,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo004_skin4,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,360,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,황금색,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo004_skin5,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,372,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,구리빛,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo004_skin6,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,384,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,회색,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo004_skin7,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,396,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,창백한,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo004_skin8,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,408,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,붉은색,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo004_skin9,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,420,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,악마,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo005_skin1,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,432,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,새하얀,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo005_skin2,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,444,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,새까만,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo005_skin3,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,456,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,오크,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo005_skin4,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,468,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,황금색,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo005_skin5,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,480,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,구리빛,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo005_skin6,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,492,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,회색,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo005_skin7,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,504,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,창백한,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo005_skin8,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,516,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,붉은색,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo005_skin9,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,528,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,악마,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo006_skin1,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,540,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,새하얀,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo006_skin2,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,552,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,새까만,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo006_skin3,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,564,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,오크,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo006_skin4,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,576,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,황금색,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo006_skin5,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,588,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,구리빛,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo006_skin6,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,600,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,회색,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo006_skin7,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,612,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,창백한,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo006_skin8,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,624,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,붉은색,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mo006_skin9,,UNRESOLVED,facecolor,,,,134,01|02|03|b|c|d|e|f,636,0,11,15,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,악마,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
