Current_Lv,Next_Lv,Segment,Required_EXP,Cumulative_EXP,Segment_Target_Cum,Growth_Rate,Primary_Hunting,Evidence,
40,41,S3,745800,9745800,37500000,1.016154421896253,아벨해안던전,B,
41,42,S3,757900,10503700,37500000,1.016154421896253,아벨해안던전,B,
42,43,S3,770100,11273800,37500000,1.016154421896253,아벨해안던전,B,
43,44,S3,782600,12056400,37500000,1.016154421896253,아벨해안던전,B,
44,45,S3,795200,12851600,37500000,1.016154421896253,아벨해안던전,B,
45,46,S3,808000,13659600,37500000,1.016154421896253,아벨해안던전,B,
46,47,S3,821100,14480700,37500000,1.016154421896253,아벨해안던전,B,
47,48,S3,834400,15315100,37500000,1.016154421896253,아벨해안던전,B,
48,49,S3,847800,16162900,37500000,1.016154421896253,아벨해안던전,B,
49,50,S3,861500,17024400,37500000,1.016154421896253,아벨해안던전,B,
50,51,S3,875500,17899900,37500000,1.016154421896253,아벨해안던전,B,
51,52,S3,889600,18789500,37500000,1.016154421896253,아벨해안던전,B,
52,53,S3,904000,19693500,37500000,1.016154421896253,아벨해안던전,B,
53,54,S3,918600,20612100,37500000,1.016154421896253,아벨해안던전,B,
54,55,S3,933400,21545500,37500000,1.016154421896253,아벨해안던전,B,
55,56,S3,948500,22494000,37500000,1.016154421896253,아벨해안던전,B,
56,57,S3,963800,23457800,37500000,1.016154421896253,아벨해안던전,B,
57,58,S3,979400,24437200,37500000,1.016154421896253,아벨해안던전,B,
58,59,S3,995200,25432400,37500000,1.016154421896253,아벨해안던전,B,
59,60,S3,1011300,26443700,37500000,1.016154421896253,아벨해안던전,B,
60,61,S3,1027600,27471300,37500000,1.016154421896253,아벨해안던전,B,
61,62,S3,1044200,28515500,37500000,1.016154421896253,아벨해안던전,B,
62,63,S3,1061100,29576600,37500000,1.016154421896253,아벨해안던전,B,
63,64,S3,1078200,30654800,37500000,1.016154421896253,아벨해안던전,B,
64,65,S3,1095600,31750400,37500000,1.016154421896253,아벨해안던전,B,
65,66,S3,1113300,32863700,37500000,1.016154421896253,아벨해안던전,B,
66,67,S3,1131300,33995000,37500000,1.016154421896253,아벨해안던전,B,
67,68,S3,1149600,35144600,37500000,1.016154421896253,아벨해안던전,B,
68,69,S3,1168200,36312800,37500000,1.016154421896253,아벨해안던전,B,
69,70,S3,1187200,37500000,37500000,1.016154421896253,아벨해안던전,B,
70,71,S4,1246400,38746400,82500000,1.0582573394571055,뤼케시온해안던전,B,
71,72,S4,1319000,40065400,82500000,1.0582573394571055,뤼케시온해안던전,B,
72,73,S4,1395900,41461300,82500000,1.0582573394571055,뤼케시온해안던전,B,
73,74,S4,1477200,42938500,82500000,1.0582573394571055,뤼케시온해안던전,B,
74,75,S4,1563200,44501700,82500000,1.0582573394571055,뤼케시온해안던전,B,
75,76,S4,1654300,46156000,82500000,1.0582573394571055,뤼케시온해안던전,B,
76,77,S4,1750700,47906700,82500000,1.0582573394571055,뤼케시온해안던전,B,
77,78,S4,1852700,49759400,82500000,1.0582573394571055,뤼케시온해안던전,B,
78,79,S4,1960600,51720000,82500000,1.0582573394571055,뤼케시온해안던전,B,
79,80,S4,2074800,53794800,82500000,1.0582573394571055,뤼케시온해안던전,B,
80,81,S4,2195700,55990500,82500000,1.0582573394571055,뤼케시온해안던전,B,
81,82,S4,2323600,58314100,82500000,1.0582573394571055,뤼케시온해안던전,B,
82,83,S4,2459000,60773100,82500000,1.0582573394571055,뤼케시온해안던전,B,
83,84,S4,2602200,63375300,82500000,1.0582573394571055,뤼케시온해안던전,B,
84,85,S4,2753800,66129100,82500000,1.0582573394571055,뤼케시온해안던전,B,
85,86,S4,2914300,69043400,82500000,1.0582573394571055,뤼케시온해안던전,B,
86,87,S4,3084000,72127400,82500000,1.0582573394571055,뤼케시온해안던전,B,
87,88,S4,3263700,75391100,82500000,1.0582573394571055,뤼케시온해안던전,B,
88,89,S4,3453800,78844900,82500000,1.0582573394571055,뤼케시온해안던전,B,
89,90,S4,3655100,82500000,82500000,1.0582573394571055,뤼케시온해안던전,B,
90,91,S5,3837800,86337800,150000000,1.1609280865639156,뤼케시온해안 후반/99 준비,B,
91,92,S5,4455400,90793200,150000000,1.1609280865639156,뤼케시온해안 후반/99 준비,B,
92,93,S5,5172400,95965600,150000000,1.1609280865639156,뤼케시온해안 후반/99 준비,B,
93,94,S5,6004800,101970400,150000000,1.1609280865639156,뤼케시온해안 후반/99 준비,B,
94,95,S5,6971100,108941500,150000000,1.1609280865639156,뤼케시온해안 후반/99 준비,B,
95,96,S5,8093000,117034500,150000000,1.1609280865639156,뤼케시온해안 후반/99 준비,B,
96,97,S5,9395400,126429900,150000000,1.1609280865639156,뤼케시온해안 후반/99 준비,B,
97,98,S5,10907400,137337300,150000000,1.1609280865639156,뤼케시온해안 후반/99 준비,B,
98,99,S5,12662700,150000000,150000000,1.1609280865639156,뤼케시온해안 후반/99 준비,B,
