type,id,name,group,frame_index,sprite_name,b,w,h,px,py,sx,sy,webp
body,mm001,남자,01,9,mm00101_9,mm000,26,51,0.4615,-0.1569,245,66,master/assets/animation_frames/body/mm001/01/mm001_01_009.webp
body,mm001,남자,02,0,mm00102_0,mm000,17,51,0.4706,-0.1569,272,66,master/assets/animation_frames/body/mm001/02/mm001_02_000.webp
body,mm001,남자,02,1,mm00102_1,mm000,18,52,0.1111,-0.1538,660,0,master/assets/animation_frames/body/mm001/02/mm001_02_001.webp
body,mm001,남자,02,2,mm00102_2,mm000,19,51,0.3158,-0.1765,290,66,master/assets/animation_frames/body/mm001/02/mm001_02_002.webp
body,mm001,남자,02,3,mm00102_3,mm000,21,49,0.1905,-0.0612,0,119,master/assets/animation_frames/body/mm001/02/mm001_02_003.webp
body,mm001,남자,03,0,mm00103_0,mm000,18,53,0.5,-0.1509,613,0,master/assets/animation_frames/body/mm001/03/mm001_03_000.webp
body,mm001,남자,03,1,mm00103_1,mm000,22,54,0.4091,-0.1667,215,0,master/assets/animation_frames/body/mm001/03/mm001_03_001.webp
body,mm001,남자,03,2,mm00103_2,mm000,19,51,0.4737,-0.1569,310,66,master/assets/animation_frames/body/mm001/03/mm001_03_002.webp
body,mm001,남자,03,3,mm00103_3,mm000,26,49,0.3462,-0.1633,22,119,master/assets/animation_frames/body/mm001/03/mm001_03_003.webp
body,mm001,남자,03,4,mm00103_4,mm000,21,51,0.381,-0.1765,330,66,master/assets/animation_frames/body/mm001/03/mm001_03_004.webp
body,mm001,남자,03,5,mm00103_5,mm000,24,50,0.3333,-0.18,934,66,master/assets/animation_frames/body/mm001/03/mm001_03_005.webp
body,mm001,남자,03,6,mm00103_6,mm000,20,51,0.45,-0.1569,352,66,master/assets/animation_frames/body/mm001/03/mm001_03_006.webp
body,mm001,남자,03,7,mm00103_7,mm000,23,51,0.3913,-0.1569,373,66,master/assets/animation_frames/body/mm001/03/mm001_03_007.webp
body,mm001,남자,03,8,mm00103_8,mm000,19,51,0.3158,-0.1765,397,66,master/assets/animation_frames/body/mm001/03/mm001_03_008.webp
body,mm001,남자,03,9,mm00103_9,mm000,21,51,0.381,-0.1765,417,66,master/assets/animation_frames/body/mm001/03/mm001_03_009.webp
body,mm001,남자,b,0,mm001b_0,mm000,17,51,0.4706,-0.1569,439,66,master/assets/animation_frames/body/mm001/b/mm001_b_000.webp
body,mm001,남자,b,1,mm001b_1,mm000,23,51,0.5652,-0.1569,457,66,master/assets/animation_frames/body/mm001/b/mm001_b_001.webp
body,mm001,남자,b,2,mm001b_2,mm000,26,51,0.3077,-0.1569,481,66,master/assets/animation_frames/body/mm001/b/mm001_b_002.webp
body,mm001,남자,b,3,mm001b_3,mm000,19,51,0.3158,-0.1765,508,66,master/assets/animation_frames/body/mm001/b/mm001_b_003.webp
body,mm001,남자,b,4,mm001b_4,mm000,26,51,0.5,-0.1765,528,66,master/assets/animation_frames/body/mm001/b/mm001_b_004.webp
body,mm001,남자,b,5,mm001b_5,mm000,26,51,0.2308,-0.1765,555,66,master/assets/animation_frames/body/mm001/b/mm001_b_005.webp
body,mm001,남자,b,6,mm001b_6,mm000,17,52,0.4706,-0.1538,679,0,master/assets/animation_frames/body/mm001/b/mm001_b_006.webp
body,mm001,남자,b,7,mm001b_7,mm000,17,51,0.4706,-0.1569,582,66,master/assets/animation_frames/body/mm001/b/mm001_b_007.webp
body,mm001,남자,b,8,mm001b_8,mm000,17,51,0.4706,-0.1569,600,66,master/assets/animation_frames/body/mm001/b/mm001_b_008.webp
body,mm001,남자,b,9,mm001b_9,mm000,22,52,0.4091,-0.1731,697,0,master/assets/animation_frames/body/mm001/b/mm001_b_009.webp
body,mm001,남자,b,10,mm001b_10,mm000,22,51,0.4091,-0.1765,618,66,master/assets/animation_frames/body/mm001/b/mm001_b_010.webp
body,mm001,남자,b,11,mm001b_11,mm000,22,51,0.4091,-0.1765,641,66,master/assets/animation_frames/body/mm001/b/mm001_b_011.webp
body,mm001,남자,b,12,mm001b_12,mm000,17,54,0.4706,-0.1481,238,0,master/assets/animation_frames/body/mm001/b/mm001_b_012.webp
body,mm001,남자,b,13,mm001b_13,mm000,20,52,0.3,-0.1731,720,0,master/assets/animation_frames/body/mm001/b/mm001_b_013.webp
body,mm001,남자,c,0,mm001c_0,mm000,19,51,0.4211,-0.1569,664,66,master/assets/animation_frames/body/mm001/c/mm001_c_000.webp
body,mm001,남자,c,1,mm001c_1,mm000,16,52,0.125,-0.1538,741,0,master/assets/animation_frames/body/mm001/c/mm001_c_001.webp
body,mm001,남자,c,2,mm001c_2,mm000,16,52,0.125,-0.1538,758,0,master/assets/animation_frames/body/mm001/c/mm001_c_002.webp
body,mm001,남자,c,3,mm001c_3,mm000,19,48,0.1053,-0.1667,209,119,master/assets/animation_frames/body/mm001/c/mm001_c_003.webp
body,mm001,남자,c,4,mm001c_4,mm000,19,51,0.3158,-0.1765,684,66,master/assets/animation_frames/body/mm001/c/mm001_c_004.webp
body,mm001,남자,c,5,mm001c_5,mm000,20,49,0.15,-0.0612,49,119,master/assets/animation_frames/body/mm001/c/mm001_c_005.webp
body,mm001,남자,c,6,mm001c_6,mm000,23,49,0.1304,-0.0612,70,119,master/assets/animation_frames/body/mm001/c/mm001_c_006.webp
body,mm001,남자,c,7,mm001c_7,mm000,24,48,0.125,-0.0625,229,119,master/assets/animation_frames/body/mm001/c/mm001_c_007.webp
body,mm001,남자,c,8,mm001c_8,mm000,17,46,0.4706,-0.1739,366,119,master/assets/animation_frames/body/mm001/c/mm001_c_008.webp
body,mm001,남자,c,9,mm001c_9,mm000,19,60,0.5789,-0.15,71,0,master/assets/animation_frames/body/mm001/c/mm001_c_009.webp
body,mm001,남자,c,10,mm001c_10,mm000,16,48,0.5625,-0.1042,254,119,master/assets/animation_frames/body/mm001/c/mm001_c_010.webp
body,mm001,남자,c,11,mm001c_11,mm000,21,46,0.381,-0.1957,384,119,master/assets/animation_frames/body/mm001/c/mm001_c_011.webp
body,mm001,남자,c,12,mm001c_12,mm000,19,61,0.5263,-0.1803,51,0,master/assets/animation_frames/body/mm001/c/mm001_c_012.webp
body,mm001,남자,c,13,mm001c_13,mm000,17,43,0.2941,-0.1395,618,119,master/assets/animation_frames/body/mm001/c/mm001_c_013.webp
body,mm001,남자,c,14,mm001c_14,mm000,16,48,0.5625,-0.1042,271,119,master/assets/animation_frames/body/mm001/c/mm001_c_014.webp
body,mm001,남자,c,15,mm001c_15,mm000,18,44,0.5,-0.1364,501,119,master/assets/animation_frames/body/mm001/c/mm001_c_015.webp
body,mm001,남자,c,16,mm001c_16,mm000,32,40,0.4062,-0.325,795,119,master/assets/animation_frames/body/mm001/c/mm001_c_016.webp
body,mm001,남자,c,17,mm001c_17,mm000,38,34,0.3684,-0.2353,901,119,master/assets/animation_frames/body/mm001/c/mm001_c_017.webp
body,mm001,남자,c,18,mm001c_18,mm000,35,43,0.5429,-0.2093,636,119,master/assets/animation_frames/body/mm001/c/mm001_c_018.webp
body,mm001,남자,c,19,mm001c_19,mm000,18,45,0.5,-0.1333,482,119,master/assets/animation_frames/body/mm001/c/mm001_c_019.webp
body,mm001,남자,c,20,mm001c_20,mm000,18,44,0.5,-0.1364,520,119,master/assets/animation_frames/body/mm001/c/mm001_c_020.webp
body,mm001,남자,c,21,mm001c_21,mm000,35,46,0.6286,-0.1957,406,119,master/assets/animation_frames/body/mm001/c/mm001_c_021.webp
body,mm001,남자,c,22,mm001c_22,mm000,38,38,0.3684,-0.2105,828,119,master/assets/animation_frames/body/mm001/c/mm001_c_022.webp
body,mm001,남자,c,23,mm001c_23,mm000,38,34,0.3684,-0.2353,940,119,master/assets/animation_frames/body/mm001/c/mm001_c_023.webp
body,mm001,남자,c,24,mm001c_24,mm000,17,46,0.4706,-0.1739,442,119,master/assets/animation_frames/body/mm001/c/mm001_c_024.webp
body,mm001,남자,c,25,mm001c_25,mm000,25,64,0.68,-0.1562,25,0,master/assets/animation_frames/body/mm001/c/mm001_c_025.webp
body,mm001,남자,c,26,mm001c_26,mm000,26,34,0.5,-0.2353,979,119,master/assets/animation_frames/body/mm001/c/mm001_c_026.webp
body,mm001,남자,c,27,mm001c_27,mm000,21,46,0.381,-0.1957,460,119,master/assets/animation_frames/body/mm001/c/mm001_c_027.webp
body,mm001,남자,c,28,mm001c_28,mm000,24,65,0.4167,-0.1846,0,0,master/assets/animation_frames/body/mm001/c/mm001_c_028.webp
body,mm001,남자,c,29,mm001c_29,mm000,33,35,0.4242,-0.2571,867,119,master/assets/animation_frames/body/mm001/c/mm001_c_029.webp
body,mm001,남자,d,0,mm001d_0,mm000,16,52,0.875,-0.0192,775,0,master/assets/animation_frames/body/mm001/d/mm001_d_000.webp
body,mm001,남자,d,1,mm001d_1,mm000,33,48,0.5455,-0.2292,288,119,master/assets/animation_frames/body/mm001/d/mm001_d_001.webp
body,mm001,남자,d,2,mm001d_2,mm000,30,49,0.6,-0.2449,94,119,master/assets/animation_frames/body/mm001/d/mm001_d_002.webp
body,mm001,남자,d,3,mm001d_3,mm000,17,54,0.8824,-0.1667,256,0,master/assets/animation_frames/body/mm001/d/mm001_d_003.webp
body,mm001,남자,d,4,mm001d_4,mm000,29,50,0.5172,-0.18,959,66,master/assets/animation_frames/body/mm001/d/mm001_d_004.webp
body,mm001,남자,d,5,mm001d_5,mm000,30,52,0.5,-0.1731,792,0,master/assets/animation_frames/body/mm001/d/mm001_d_005.webp
body,mm001,남자,d,6,mm001d_6,mm000,27,52,0.0741,-0.1538,823,0,master/assets/animation_frames/body/mm001/d/mm001_d_006.webp
body,mm001,남자,d,7,mm001d_7,mm000,22,52,0.0909,-0.1538,851,0,master/assets/animation_frames/body/mm001/d/mm001_d_007.webp
body,mm001,남자,d,8,mm001d_8,mm000,31,49,0.129,-0.0612,125,119,master/assets/animation_frames/body/mm001/d/mm001_d_008.webp
body,mm001,남자,d,9,mm001d_9,mm000,26,49,0.1154,-0.0612,157,119,master/assets/animation_frames/body/mm001/d/mm001_d_009.webp
body,mm001,남자,d,10,mm001d_10,mm000,23,52,0.3478,-0.1538,874,0,master/assets/animation_frames/body/mm001/d/mm001_d_010.webp
body,mm001,남자,d,11,mm001d_11,mm000,26,47,0.2308,-0.3617,339,119,master/assets/animation_frames/body/mm001/d/mm001_d_011.webp
body,mm001,남자,d,12,mm001d_12,mm000,38,43,0.2895,-0.3953,672,119,master/assets/animation_frames/body/mm001/d/mm001_d_012.webp
body,mm001,남자,d,13,mm001d_13,mm000,16,52,0.1875,-0.1538,898,0,master/assets/animation_frames/body/mm001/d/mm001_d_013.webp
body,mm001,남자,d,14,mm001d_14,mm000,27,54,0.1852,-0.0741,274,0,master/assets/animation_frames/body/mm001/d/mm001_d_014.webp
body,mm001,남자,d,15,mm001d_15,mm000,26,51,0.4231,-0.0784,704,66,master/assets/animation_frames/body/mm001/d/mm001_d_015.webp
body,mm001,남자,d,16,mm001d_16,mm000,37,51,0.2703,-0.1176,731,66,master/assets/animation_frames/body/mm001/d/mm001_d_016.webp
body,mm001,남자,d,17,mm001d_17,mm000,16,54,0.0,-0.0741,302,0,master/assets/animation_frames/body/mm001/d/mm001_d_017.webp
body,mm001,남자,e,0,mm001e_0,mm000,14,51,0.3571,-0.1569,769,66,master/assets/animation_frames/body/mm001/e/mm001_e_000.webp
body,mm001,남자,e,1,mm001e_1,mm000,28,44,0.1786,-0.1818,539,119,master/assets/animation_frames/body/mm001/e/mm001_e_001.webp
body,mm001,남자,e,2,mm001e_2,mm000,16,48,0.375,-0.25,322,119,master/assets/animation_frames/body/mm001/e/mm001_e_002.webp
body,mm001,남자,e,3,mm001e_3,mm000,29,43,0.069,-0.0233,711,119,master/assets/animation_frames/body/mm001/e/mm001_e_003.webp
body,mm001,남자,e,4,mm001e_4,mm000,28,44,0.1786,-0.1818,568,119,master/assets/animation_frames/body/mm001/e/mm001_e_004.webp
body,mm001,남자,e,5,mm001e_5,mm000,20,44,0.1,-0.1818,597,119,master/assets/animation_frames/body/mm001/e/mm001_e_005.webp
body,mm001,남자,e,6,mm001e_6,mm000,29,43,0.069,-0.0233,741,119,master/assets/animation_frames/body/mm001/e/mm001_e_006.webp
body,mm001,남자,e,7,mm001e_7,mm000,23,43,0.0,-0.0233,771,119,master/assets/animation_frames/body/mm001/e/mm001_e_007.webp
body,mm001,남자,e,8,mm001e_8,mm000,16,52,0.6875,-0.1731,915,0,master/assets/animation_frames/body/mm001/e/mm001_e_008.webp
body,mm001,남자,e,9,mm001e_9,mm000,16,52,0.6875,-0.1731,932,0,master/assets/animation_frames/body/mm001/e/mm001_e_009.webp
body,mm001,남자,e,10,mm001e_10,mm000,16,52,0.6875,-0.1731,949,0,master/assets/animation_frames/body/mm001/e/mm001_e_010.webp
body,mm001,남자,e,11,mm001e_11,mm000,16,52,0.6875,-0.1731,966,0,master/assets/animation_frames/body/mm001/e/mm001_e_011.webp
body,mm001,남자,e,12,mm001e_12,mm000,20,54,0.35,-0.1296,319,0,master/assets/animation_frames/body/mm001/e/mm001_e_012.webp
body,mm001,남자,e,13,mm001e_13,mm000,20,54,0.35,-0.1296,340,0,master/assets/animation_frames/body/mm001/e/mm001_e_013.webp
body,mm001,남자,e,14,mm001e_14,mm000,20,54,0.35,-0.1296,361,0,master/assets/animation_frames/body/mm001/e/mm001_e_014.webp
body,mm001,남자,e,15,mm001e_15,mm000,20,54,0.35,-0.1296,382,0,master/assets/animation_frames/body/mm001/e/mm001_e_015.webp
body,mm001,남자,e,16,mm001e_16,mm000,16,52,0.6875,-0.1731,983,0,master/assets/animation_frames/body/mm001/e/mm001_e_016.webp
body,mm001,남자,e,17,mm001e_17,mm000,16,52,0.6875,-0.1731,1000,0,master/assets/animation_frames/body/mm001/e/mm001_e_017.webp
body,mm001,남자,e,18,mm001e_18,mm000,16,52,0.6875,-0.1731,0,66,master/assets/animation_frames/body/mm001/e/mm001_e_018.webp
body,mm001,남자,e,19,mm001e_19,mm000,16,52,0.6875,-0.1731,17,66,master/assets/animation_frames/body/mm001/e/mm001_e_019.webp
body,mm001,남자,e,20,mm001e_20,mm000,16,52,0.6875,-0.1731,34,66,master/assets/animation_frames/body/mm001/e/mm001_e_020.webp
body,mm001,남자,e,21,mm001e_21,mm000,16,52,0.6875,-0.1731,51,66,master/assets/animation_frames/body/mm001/e/mm001_e_021.webp
body,mm001,남자,e,22,mm001e_22,mm000,17,55,0.4118,-0.1091,133,0,master/assets/animation_frames/body/mm001/e/mm001_e_022.webp
body,mm001,남자,e,23,mm001e_23,mm000,20,54,0.35,-0.1296,403,0,master/assets/animation_frames/body/mm001/e/mm001_e_023.webp
body,mm001,남자,e,24,mm001e_24,mm000,20,54,0.35,-0.1296,424,0,master/assets/animation_frames/body/mm001/e/mm001_e_024.webp
body,mm001,남자,e,25,mm001e_25,mm000,20,54,0.35,-0.1296,445,0,master/assets/animation_frames/body/mm001/e/mm001_e_025.webp
body,mm001,남자,e,26,mm001e_26,mm000,20,54,0.35,-0.1296,466,0,master/assets/animation_frames/body/mm001/e/mm001_e_026.webp
body,mm001,남자,e,27,mm001e_27,mm000,20,54,0.35,-0.1296,487,0,master/assets/animation_frames/body/mm001/e/mm001_e_027.webp
body,mm001,남자,e,28,mm001e_28,mm000,16,52,0.6875,-0.1731,68,66,master/assets/animation_frames/body/mm001/e/mm001_e_028.webp
body,mm001,남자,e,29,mm001e_29,mm000,16,52,0.6875,-0.1731,85,66,master/assets/animation_frames/body/mm001/e/mm001_e_029.webp
body,mm001,남자,e,30,mm001e_30,mm000,16,52,0.6875,-0.1731,102,66,master/assets/animation_frames/body/mm001/e/mm001_e_030.webp
body,mm001,남자,e,31,mm001e_31,mm000,16,52,0.6875,-0.1731,119,66,master/assets/animation_frames/body/mm001/e/mm001_e_031.webp
body,mm001,남자,e,32,mm001e_32,mm000,18,54,0.3889,-0.1296,508,0,master/assets/animation_frames/body/mm001/e/mm001_e_032.webp
body,mm001,남자,e,33,mm001e_33,mm000,18,54,0.3889,-0.1296,527,0,master/assets/animation_frames/body/mm001/e/mm001_e_033.webp
body,mm001,남자,e,34,mm001e_34,mm000,18,54,0.3889,-0.1296,546,0,master/assets/animation_frames/body/mm001/e/mm001_e_034.webp
body,mm001,남자,e,35,mm001e_35,mm000,18,54,0.3889,-0.1296,565,0,master/assets/animation_frames/body/mm001/e/mm001_e_035.webp
body,mm001,남자,f,0,mm001f_0,mm000,26,51,0.5,-0.1569,784,66,master/assets/animation_frames/body/mm001/f/mm001_f_000.webp
body,mm001,남자,f,1,mm001f_1,mm000,28,54,0.4643,-0.1481,584,0,master/assets/animation_frames/body/mm001/f/mm001_f_001.webp
body,mm001,남자,f,2,mm001f_2,mm000,28,51,0.5,-0.1765,811,66,master/assets/animation_frames/body/mm001/f/mm001_f_002.webp
body,mm001,남자,f,3,mm001f_3,mm000,26,52,0.5,-0.1731,136,66,master/assets/animation_frames/body/mm001/f/mm001_f_003.webp
body,mm001,남자,f,4,mm001f_4,mm000,17,51,0.4706,-0.1569,840,66,master/assets/animation_frames/body/mm001/f/mm001_f_004.webp
body,mm001,남자,f,5,mm001f_5,mm000,17,51,0.4706,-0.1569,858,66,master/assets/animation_frames/body/mm001/f/mm001_f_005.webp
body,mm001,남자,f,6,mm001f_6,mm000,17,55,0.4706,-0.1455,151,0,master/assets/animation_frames/body/mm001/f/mm001_f_006.webp
body,mm001,남자,f,7,mm001f_7,mm000,17,55,0.4706,-0.1455,169,0,master/assets/animation_frames/body/mm001/f/mm001_f_007.webp
body,mm001,남자,f,8,mm001f_8,mm000,19,51,0.3158,-0.1765,876,66,master/assets/animation_frames/body/mm001/f/mm001_f_008.webp
body,mm001,남자,f,9,mm001f_9,mm000,19,51,0.3158,-0.1765,896,66,master/assets/animation_frames/body/mm001/f/mm001_f_009.webp
body,mm001,남자,f,10,mm001f_10,mm000,20,56,0.35,-0.1607,91,0,master/assets/animation_frames/body/mm001/f/mm001_f_010.webp
body,mm001,남자,f,11,mm001f_11,mm000,20,56,0.35,-0.1607,112,0,master/assets/animation_frames/body/mm001/f/mm001_f_011.webp
body,wm001,여자,01,0,wm00101_0,wm000,15,51,0.4667,-0.1569,1002,0,master/assets/animation_frames/body/wm001/01/wm001_01_000.webp
body,wm001,여자,01,1,wm00101_1,wm000,17,51,0.3529,-0.1765,0,66,master/assets/animation_frames/body/wm001/01/wm001_01_001.webp
body,wm001,여자,01,2,wm00101_2,wm000,17,51,0.4706,-0.1569,18,66,master/assets/animation_frames/body/wm001/01/wm001_01_002.webp
body,wm001,여자,01,3,wm00101_3,wm000,23,52,0.4783,-0.1154,604,0,master/assets/animation_frames/body/wm001/01/wm001_01_003.webp
body,wm001,여자,01,4,wm00101_4,wm000,16,50,0.5,-0.18,650,66,master/assets/animation_frames/body/wm001/01/wm001_01_004.webp
body,wm001,여자,01,5,wm00101_5,wm000,24,49,0.4583,-0.1837,820,66,master/assets/animation_frames/body/wm001/01/wm001_01_005.webp
body,wm001,여자,01,6,wm00101_6,wm000,20,48,0.5,-0.25,898,66,master/assets/animation_frames/body/wm001/01/wm001_01_006.webp
body,wm001,여자,01,7,wm00101_7,wm000,22,54,0.4545,-0.0926,180,0,master/assets/animation_frames/body/wm001/01/wm001_01_007.webp
body,wm001,여자,01,8,wm00101_8,wm000,18,51,0.5,-0.1765,36,66,master/assets/animation_frames/body/wm001/01/wm001_01_008.webp
body,wm001,여자,01,9,wm00101_9,wm000,26,51,0.4615,-0.1569,55,66,master/assets/animation_frames/body/wm001/01/wm001_01_009.webp
body,wm001,여자,02,0,wm00102_0,wm000,15,51,0.4667,-0.1569,82,66,master/assets/animation_frames/body/wm001/02/wm001_02_000.webp
body,wm001,여자,02,1,wm00102_1,wm000,16,50,0.125,-0.16,667,66,master/assets/animation_frames/body/wm001/02/wm001_02_001.webp
body,wm001,여자,02,2,wm00102_2,wm000,16,51,0.3125,-0.1765,98,66,master/assets/animation_frames/body/wm001/02/wm001_02_002.webp
body,wm001,여자,02,3,wm00102_3,wm000,21,48,0.1429,-0.0625,919,66,master/assets/animation_frames/body/wm001/02/wm001_02_003.webp
body,wm001,여자,03,0,wm00103_0,wm000,16,53,0.5,-0.1509,569,0,master/assets/animation_frames/body/wm001/03/wm001_03_000.webp
body,wm001,여자,03,1,wm00103_1,wm000,17,53,0.3529,-0.1698,586,0,master/assets/animation_frames/body/wm001/03/wm001_03_001.webp
body,wm001,여자,03,2,wm00103_2,wm000,16,51,0.4375,-0.1569,115,66,master/assets/animation_frames/body/wm001/03/wm001_03_002.webp
body,wm001,여자,03,3,wm00103_3,wm000,21,49,0.3333,-0.1633,845,66,master/assets/animation_frames/body/wm001/03/wm001_03_003.webp
body,wm001,여자,03,4,wm00103_4,wm000,17,51,0.3529,-0.1765,132,66,master/assets/animation_frames/body/wm001/03/wm001_03_004.webp
body,wm001,여자,03,5,wm00103_5,wm000,21,50,0.2857,-0.18,684,66,master/assets/animation_frames/body/wm001/03/wm001_03_005.webp
body,wm001,여자,03,6,wm00103_6,wm000,20,51,0.35,-0.1569,150,66,master/assets/animation_frames/body/wm001/03/wm001_03_006.webp
