Zone,Monster_Name,Runtime_Asset_ID,Source_Page,Image_Status,Mapping_Status,Evidence,Notes,,,
호러,여자전사,mon_호러_여자전사,https://lod.nexon.com/Community/screenshot/134341?Category2=2,SCENE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,호러 실제 장면 source 확보. 10종 각각의 개별 식별/crop은 후속 시각검증 필요.,,,
호러,남자도적,mon_호러_남자도적,https://lod.nexon.com/Community/screenshot/134341?Category2=2,SCENE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,호러 실제 장면 source 확보. 10종 각각의 개별 식별/crop은 후속 시각검증 필요.,,,
호러,여자도적,mon_호러_여자도적,https://lod.nexon.com/Community/screenshot/134341?Category2=2,SCENE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,호러 실제 장면 source 확보. 10종 각각의 개별 식별/crop은 후속 시각검증 필요.,,,
호러,남자마법사,mon_호러_남자마법사,https://lod.nexon.com/Community/screenshot/134341?Category2=2,SCENE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,호러 실제 장면 source 확보. 10종 각각의 개별 식별/crop은 후속 시각검증 필요.,,,
호러,여자마법사,mon_호러_여자마법사,https://lod.nexon.com/Community/screenshot/134341?Category2=2,SCENE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,호러 실제 장면 source 확보. 10종 각각의 개별 식별/crop은 후속 시각검증 필요.,,,
호러,남자성직자,mon_호러_남자성직자,https://lod.nexon.com/Community/screenshot/134341?Category2=2,SCENE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,호러 실제 장면 source 확보. 10종 각각의 개별 식별/crop은 후속 시각검증 필요.,,,
호러,여자성직자,mon_호러_여자성직자,https://lod.nexon.com/Community/screenshot/134341?Category2=2,SCENE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,호러 실제 장면 source 확보. 10종 각각의 개별 식별/crop은 후속 시각검증 필요.,,,
호러,남자무도가,mon_호러_남자무도가,https://lod.nexon.com/Community/screenshot/134341?Category2=2,SCENE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,호러 실제 장면 source 확보. 10종 각각의 개별 식별/crop은 후속 시각검증 필요.,,,
호러,여자무도가,mon_호러_여자무도가,https://lod.nexon.com/Community/screenshot/134341?Category2=2,SCENE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,호러 실제 장면 source 확보. 10종 각각의 개별 식별/crop은 후속 시각검증 필요.,,,
죽마,좀비,mon_죽마_좀비,https://lod.nexon.com/News/notice/129289,ZONE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,죽음의마을 실제 화면 source 확보. 개별 몬스터 sprite 식별은 후속.,,,
죽마,니크르,mon_죽마_니크르,https://lod.nexon.com/News/notice/129289,ZONE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,죽음의마을 실제 화면 source 확보. 개별 몬스터 sprite 식별은 후속.,,,
죽마,머미,mon_죽마_머미,https://lod.nexon.com/News/notice/129289,ZONE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,죽음의마을 실제 화면 source 확보. 개별 몬스터 sprite 식별은 후속.,,,
죽마,죽음의마을 지하 몬스터군,mon_죽마_죽음의마을 지하 몬스터군,https://lod.nexon.com/News/notice/129289,ZONE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,죽음의마을 실제 화면 source 확보. 개별 몬스터 sprite 식별은 후속.,,,
